"","Estimate","SE"
"elpd_loo",99.4668514969249,36.5219473628568
"p_loo",49.3172239212523,4.00721633374337
"looic",-198.93370299385,73.0438947257135
"elpd_waic",99.467912297461,36.5267800134134
"p_waic",49.3161631207164,4.04631152305583
"waic",-198.935824594922,73.0535600268269
