"pars","site","X50.","X2.5.","X97.5."
"probI","Goma",0.45727217,0.38232240725,0.5437194355
"probI","Kamituga",0.732331295,0.69041998375,0.77492000575
"probI","Kinshasa",0.74337821,0.68830315675,0.80005620525
"probI","Uvira",0.5039799,0.438795806,0.575564021
"probI_all",NA,0.649657845,0.61111998175,0.69140645825
"muE",NA,3.65442825,3.64890514,3.660361945
"sdE",NA,0.0836280095,0.0788213935,0.088492848025
"sdI",NA,0.19345017,0.17523120725,0.212965572
